Pre-scan folder lookup dari '03_photos_export'...
  743 unique identifiers, 819 folder.
  [OK] BTP JAK\AXC\ZP 24A BOO/date.txt -> Sabtu, Jan 06 2024 (filename)
  [OK] BTP BD\AXC\ZP 24A BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 24B BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP BD\AXC\ZP 24B MSG-BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\AXC\ZP 31A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 31B BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 31C BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 31D BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 31E BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 32A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 32B BOO/date.txt -> Sabtu, Jan 06 2024 (filename)
  [OK] BTP JAK\AXC\ZP 41 BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\AXC\ZP 42A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 42B BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\AXC\ZP 42C BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\AXC\ZP 52 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 60 BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\AXC\ZP 61 BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\AXC\ZP 62A BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\AXC\ZP 62B BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\AXC\ZP 72 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\AXC\ZP 92 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [MISS] PERAWATAN CATU DAYA ER RADIO COS 27-01-2025.pdf -> cat=CATUDAYA id=ER RADIO COS date=Senin, Jan 27 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN CATU DAYA ER SINYAL BOO 09-01-2025.pdf -> cat=CATUDAYA id=ER SINYAL BOO date=Kamis, Jan 09 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN CATU DAYA ER SINYAL BOO-BOP 11-01-2025.pdf -> cat=CATUDAYA id=ER SINYAL BOO-BOP date=Sabtu, Jan 11 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN CATU DAYA ER SINYAL BTT 23-01-2025.pdf -> cat=CATUDAYA id=ER SINYAL BTT date=Kamis, Jan 23 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN CATU DAYA ER SINYAL CGB 21-01-2025.pdf -> cat=CATUDAYA id=ER SINYAL CGB date=Selasa, Jan 21 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN CATU DAYA ER SINYAL CLT 03-01-2025.pdf -> cat=CATUDAYA id=ER SINYAL CLT date=Jumat, Jan 03 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN CATU DAYA ER SINYAL COS 28-01-2025.pdf -> cat=CATUDAYA id=ER SINYAL COS date=Selasa, Jan 28 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN CATU DAYA ER SINYAL MSG 05-01-2025.pdf -> cat=CATUDAYA id=ER SINYAL MSG date=Minggu, Jan 05 2025 -- folder tidak ditemukan
  [OK] BTP JAK\CTS\BOO/date.txt -> Kamis, Jan 09 2025 (filename)
  [OK] BTP JAK\CTS\CLT/date.txt -> Jumat, Jan 03 2025 (filename)
  [OK] BTP BD\PDSE\BOP/date.txt -> Sabtu, Jan 11 2025 (filename)
  [MISS] PERAWATAN PDSE CCR 05-01-2025.pdf -> cat=PDSE id=CCR date=Minggu, Jan 05 2025 -- folder tidak ditemukan
  [OK] BTP BD\PDSE\CGB/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP JAK\PDSE\CLT/date.txt -> Jumat, Jan 03 2025 (filename)
  [OK] BTP JAK\PDSE\CLT/date.txt -> Kamis, Jan 09 2025 (filename)
  [OK] BTP BD\PDSE\COS/date.txt -> Senin, Jan 27 2025 (filename)
  [OK] BTP BD\PDSE\MSG/date.txt -> Kamis, Jan 23 2025 (filename)
  [MISS] PERAWATAN PINTU PERLINTASAN JPL 07 BOP-BTT 26-01-2025.pdf -> cat=PINTU_PERLINTASAN id=JPL 07 BOP-BTT date=Minggu, Jan 26 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN PINTU PERLINTASAN JPL 11 BTT 23-01-2025.pdf -> cat=PINTU_PERLINTASAN id=JPL 11 BTT date=Kamis, Jan 23 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN PINTU PERLINTASAN JPL 15 CCR-MSG 30-01-2025.pdf -> cat=PINTU_PERLINTASAN id=JPL 15 CCR-MSG date=Kamis, Jan 30 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN PINTU PERLINTASAN JPL 16 CCR-MSG 30-01-2025.pdf -> cat=PINTU_PERLINTASAN id=JPL 16 CCR-MSG date=Kamis, Jan 30 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN PINTU PERLINTASAN JPL 2 BOO 25-01-2025.pdf -> cat=PINTU_PERLINTASAN id=JPL 2 BOO date=Sabtu, Jan 25 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN PINTU PERLINTASAN JPL 26 CLT 17-01-2025.pdf -> cat=PINTU_PERLINTASAN id=JPL 26 CLT date=Jumat, Jan 17 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN PINTU PERLINTASAN JPL ELEKTRIK BNR BOP - BTT 26-01-2025.pdf -> cat=PINTU_PERLINTASAN id=JPL ELEKTRIK BNR BOP - BTT date=Minggu, Jan 26 2025 -- folder tidak ditemukan
  [OK] BTP JAK\PTDS\BOO/date.txt -> Kamis, Jan 09 2025 (filename)
  [OK] BTP BD\PTDS\BOP/date.txt -> Sabtu, Jan 11 2025 (filename)
  [OK] BTP BD\PTDS\BTT/date.txt -> Kamis, Jan 23 2025 (filename)
  [OK] BTP BD\PTDS\CGB/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP JAK\PTDS\CLT/date.txt -> Jumat, Jan 03 2025 (filename)
  [OK] BTP BD\PTDS\MSG/date.txt -> Minggu, Jan 05 2025 (filename)
  [OK] BTP JAK\PTLS\BOO/date.txt -> Sabtu, Jan 25 2025 (filename)
  [OK] BTP BD\PTLS\CGB/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP BD\PTLS\COS/date.txt -> Senin, Jan 27 2025 (filename)
  [OK] BTP JAK\PTPP\JPL 01 BOO/date.txt -> Sabtu, Jan 25 2025 (filename)
  [OK] BTP JAK\PTPP\JPL 02 BOO/date.txt -> Sabtu, Jan 25 2025 (filename)
  [OK] BTP BD\PTPP\JPL 04 BOP/date.txt -> Minggu, Jan 26 2025 (filename)
  [OK] BTP BD\PTPP\JPL 07 BOP/date.txt -> Minggu, Jan 26 2025 (filename)
  [OK] BTP BD\PTPP\JPL 11 BTT/date.txt -> Kamis, Jan 23 2025 (filename)
  [OK] BTP BD\PTPP\JPL 15 MSG/date.txt -> Kamis, Jan 30 2025 (filename)
  [OK] BTP BD\PTPP\JPL 16 MSG/date.txt -> Kamis, Jan 30 2025 (filename)
  [MISS] PERAWATAN PTPP JPL 26 CLT 17-01-2025.pdf -> cat=PTPP id=JPL 26 CLT date=Jumat, Jan 17 2025 -- folder tidak ditemukan
  [MISS] PERAWATAN PTPP JPL 27 BOO-CLT 24-01-2024.pdf -> cat=PTPP id=JPL 27 BOO-CLT date=Rabu, Jan 24 2024 -- folder tidak ditemukan
  [MISS] PERAWATAN PTPP JPL 28 BOO-CLT 24-01-2024.pdf -> cat=PTPP id=JPL 28 BOO-CLT date=Rabu, Jan 24 2024 -- folder tidak ditemukan
  [OK] BTP BD\PTPP\JPL BNR BOP-BTT/date.txt -> Minggu, Jan 26 2025 (filename)
  [MISS] PERAWATAN SERAT OPTIK ER 09-01-2025.pdf -> cat=SERAT OPTIK id=ER date=Kamis, Jan 09 2025 -- folder tidak ditemukan
  [OK] BTP JAK\SERAT OPTIK\ER SINYAL CLT/date.txt -> Jumat, Jan 03 2025 (filename)
  [OK] BTP JAK\SERAT OPTIK\ER TELKOM BTT/date.txt -> Kamis, Jan 23 2025 (filename)
  [OK] BTP JAK\SERAT OPTIK\ER TELKOM CGB/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP JAK\SERAT OPTIK\ER TELKOM MSG/date.txt -> Minggu, Jan 05 2025 (filename)
  [OK] BTP JAK\SERAT OPTIK\JPL 26N CLT-BJD/date.txt -> Jumat, Jan 17 2025 (filename)
  [OK] BTP JAK\SINYAL\B101 CLT-BOO/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\B101 MSG-CCR/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP JAK\SINYAL\B101 BJD-CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B101 CLT-BOO/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B102 CLT-BOO/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\B102 BJD-CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B102 CLT-BOO/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B103 CLT-BOO/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\B104 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\B105 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\B106 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\B107 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B108 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B109 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B110 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B111 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B112 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B201 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP BD\SINYAL\B201 CCR-MSG/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP JAK\SINYAL\B202 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B203 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B204 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B205 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\B205 BOO-CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B205 CLT-BJD/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B206 BOO-CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B206 CLT-BJD/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B207 BOO-CLT/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\B207 BOO-CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B207 CLT-BJD/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\B208 BOO-CLT/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\B209 BOO-CLT/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\B210 BOO-CLT/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\B211 BOO-CLT/date.txt -> Rabu, Jan 08 2025 (filename)
